Initial Position	Final Position	Reflection Count
0.00,0.00	-2.98,0.16	5
0.00,0.00	-0.83,-3.47	5
0.00,0.00	-3.77,2.50	5
0.00,0.00	-0.18,-4.65	5
0.00,0.00	3.76,2.45	5
0.00,0.00	-2.68,2.48	5
0.00,0.00	-2.86,-0.02	5
0.00,0.00	-3.20,0.54	5
0.00,0.00	-3.71,1.48	5
0.00,0.00	-0.42,2.49	5
0.00,0.00	1.70,-1.96	5
0.00,0.00	2.34,-0.88	5
0.00,0.00	3.38,0.87	5
0.00,0.00	2.96,2.47	5
0.00,0.00	-0.07,-4.87	5
0.00,0.00	-1.27,-2.78	5
0.00,0.00	0.30,-4.48	5
0.00,0.00	3.58,1.22	5
0.00,0.00	2.10,-1.31	5
0.00,0.00	-4.13,2.49	5
0.00,0.00	-3.57,2.47	5
0.00,0.00	2.92,2.48	5
0.00,0.00	-0.46,-4.17	5
0.00,0.00	-2.98,2.47	5
0.00,0.00	0.03,2.47	5
0.00,0.00	-0.44,-4.21	5
0.00,0.00	-3.96,2.49	5
0.00,0.00	-1.33,-2.69	5
0.00,0.00	-2.63,2.48	5
0.00,0.00	1.82,-1.83	5
0.00,0.00	-0.33,-4.42	5
0.00,0.00	-1.31,2.49	5
0.00,0.00	1.93,-1.59	5
0.00,0.00	-0.78,2.50	5
0.00,0.00	-2.16,2.49	5
0.00,0.00	3.23,0.60	5
0.00,0.00	-3.93,1.85	5
0.00,0.00	-0.50,-4.07	5
0.00,0.00	-0.57,2.49	5
0.00,0.00	2.44,-0.73	5
0.00,0.00	2.34,-0.95	5
0.00,0.00	-1.51,-2.38	5
0.00,0.00	-0.21,-4.63	5
0.00,0.00	-0.02,2.46	5
0.00,0.00	-2.18,-1.15	5
0.00,0.00	-2.12,-1.29	5
0.00,0.00	1.23,2.48	5
0.00,0.00	1.74,2.50	5
0.00,0.00	1.72,-2.01	5
0.00,0.00	1.54,-2.29	5
0.00,0.00	0.66,-3.85	5
0.00,0.00	-1.26,-2.73	5
0.00,0.00	-0.03,-4.93	5
0.00,0.00	3.66,1.41	5
0.00,0.00	2.00,-1.53	5
0.00,0.00	0.49,2.48	5
0.00,0.00	2.70,-0.31	5
0.00,0.00	-0.13,2.46	5
0.00,0.00	3.95,1.86	5
0.00,0.00	-0.89,-3.45	5
0.00,0.00	-0.24,2.47	5
0.00,0.00	2.86,-0.01	5
0.00,0.00	-3.13,0.46	5
0.00,0.00	2.75,2.46	5
0.00,0.00	-0.75,-3.69	5
0.00,0.00	-2.37,2.48	5
0.00,0.00	-4.07,2.10	5
0.00,0.00	1.44,-2.47	5
0.00,0.00	1.69,2.49	5
0.00,0.00	1.25,-2.78	5
0.00,0.00	1.35,-2.66	5
0.00,0.00	-0.01,-4.91	5
0.00,0.00	-2.59,2.47	5
0.00,0.00	2.59,-0.46	5
0.00,0.00	2.89,2.49	5
0.00,0.00	-3.52,2.47	5
0.00,0.00	-3.91,1.79	5
0.00,0.00	0.42,-4.27	5
0.00,0.00	39.07,-27.54	1
0.00,0.00	-4.04,2.04	5
0.00,0.00	2.71,-0.31	5
0.00,0.00	3.99,1.91	5
0.00,0.00	3.47,1.06	5
0.00,0.00	4.06,2.04	5
0.00,0.00	0.23,2.50	5
0.00,0.00	-4.01,2.48	5
0.00,0.00	4.07,2.46	5
0.00,0.00	-1.82,-1.83	5
0.00,0.00	-0.10,-4.76	5
0.00,0.00	-1.57,2.49	5
0.00,0.00	-0.63,-3.90	5
0.00,0.00	1.34,-2.67	5
0.00,0.00	3.34,0.82	5
0.00,0.00	-0.21,-4.63	5
0.00,0.00	-3.44,2.49	5
0.00,0.00	2.91,0.04	5
0.00,0.00	2.63,-0.37	5
0.00,0.00	-0.98,2.49	5
0.00,0.00	-1.36,-2.65	5
0.00,0.00	1.31,-2.73	5
0.00,0.00	-0.90,2.48	5
0.00,0.00	1.83,2.49	5
0.00,0.00	2.50,-0.59	5
0.00,0.00	2.33,-0.96	5
0.00,0.00	1.41,2.49	5
0.00,0.00	1.87,-1.72	5
0.00,0.00	-0.78,-3.63	5
0.00,0.00	-3.62,2.45	5
0.00,0.00	0.70,2.46	5
0.00,0.00	-1.98,-1.51	5
0.00,0.00	-3.78,1.61	5
0.00,0.00	3.71,1.44	5
0.00,0.00	3.80,1.60	5
0.00,0.00	-1.54,2.46	5
0.00,0.00	0.97,2.50	5
0.00,0.00	3.79,1.63	5
0.00,0.00	-2.41,-0.75	5
0.00,0.00	2.67,-0.32	5
0.00,0.00	0.07,-4.84	5
0.00,0.00	-3.06,0.34	5
0.00,0.00	0.48,2.50	5
0.00,0.00	1.80,2.48	5
0.00,0.00	2.37,2.49	5
0.00,0.00	-4.26,2.42	5
0.00,0.00	-2.76,2.48	5
0.00,0.00	-4.32,2.49	5
0.00,0.00	2.29,2.47	5
0.00,0.00	1.58,-2.25	5
0.00,0.00	2.61,-0.43	5
0.00,0.00	-3.10,0.40	5
0.00,0.00	-2.72,2.49	5
0.00,0.00	2.48,2.48	5
0.00,0.00	-3.59,2.50	5
0.00,0.00	-3.37,0.90	5
0.00,0.00	3.97,1.88	5
0.00,0.00	-0.81,-3.59	5
0.00,0.00	0.05,-4.87	5
0.00,0.00	4.29,2.44	5
0.00,0.00	-3.30,0.75	5
0.00,0.00	0.47,-4.11	5
0.00,0.00	-2.43,2.47	5
0.00,0.00	1.03,2.50	5
0.00,0.00	2.53,2.50	5
0.00,0.00	-3.50,1.11	5
0.00,0.00	2.28,2.48	5
0.00,0.00	-0.75,-3.61	5
0.00,0.00	1.84,-1.76	5
0.00,0.00	2.28,-0.99	5
0.00,0.00	-2.11,-1.34	5
0.00,0.00	4.01,2.47	5
0.00,0.00	-3.88,1.77	5
0.00,0.00	4.02,1.97	5
0.00,0.00	-3.56,2.47	5
0.00,0.00	0.37,2.47	5
0.00,0.00	-3.39,0.93	5
0.00,0.00	4.31,2.50	5
0.00,0.00	-0.58,2.48	5
0.00,0.00	0.76,2.48	5
0.00,0.00	-3.32,0.82	5
0.00,0.00	-0.25,-4.52	5
0.00,0.00	2.08,-1.31	5
0.00,0.00	-3.85,2.48	5
0.00,0.00	-0.65,-3.82	5
0.00,0.00	-3.93,1.86	5
0.00,0.00	2.39,-0.84	5
0.00,0.00	-0.83,-3.54	5
0.00,0.00	3.78,1.60	5
0.00,0.00	2.96,0.14	5
0.00,0.00	3.04,0.29	5
0.00,0.00	0.99,-3.22	5
0.00,0.00	3.92,1.88	5
0.00,0.00	-2.55,-0.52	5
0.00,0.00	-3.30,0.77	5
0.00,0.00	-1.86,-1.72	5
0.00,0.00	3.97,1.93	5
0.00,0.00	-0.00,-4.93	5
0.00,0.00	3.49,1.07	5
0.00,0.00	1.94,-1.63	5
0.00,0.00	2.25,-1.09	5
0.00,0.00	0.20,-4.65	5
0.00,0.00	1.15,-2.94	5
0.00,0.00	0.65,2.46	5
0.00,0.00	1.71,-2.04	5
0.00,0.00	3.44,2.49	5
0.00,0.00	1.54,-2.32	5
0.00,0.00	0.63,2.49	5
0.00,0.00	0.66,-3.81	5
0.00,0.00	-1.78,-1.84	5
0.00,0.00	-2.86,-0.02	5
0.00,0.00	4.13,2.22	5
0.00,0.00	-3.79,1.65	5
0.00,0.00	-1.43,2.47	5
0.00,0.00	2.54,-0.57	5
0.00,0.00	-2.72,-0.27	5
0.00,0.00	1.92,-1.63	5
0.00,0.00	0.20,-4.64	5
0.00,0.00	-0.59,2.47	5
0.00,0.00	-0.34,-4.33	5
0.00,0.00	-3.13,2.47	5
0.00,0.00	2.36,2.47	5
0.00,0.00	3.27,2.47	5
0.00,0.00	-1.64,2.50	5
0.00,0.00	1.16,-2.97	5
0.00,0.00	-2.24,-1.10	5
0.00,0.00	0.20,-4.65	5
0.00,0.00	-3.97,2.46	5
0.00,0.00	3.77,1.53	5
0.00,0.00	-1.27,-2.76	5
0.00,0.00	-2.15,-1.26	5
0.00,0.00	-0.72,-3.73	5
0.00,0.00	-3.46,2.47	5
0.00,0.00	0.08,2.49	5
0.00,0.00	-0.61,-3.90	5
0.00,0.00	1.37,-2.55	5
0.00,0.00	-3.44,1.03	5
0.00,0.00	0.26,-4.55	5
0.00,0.00	-1.89,2.48	5
0.00,0.00	1.73,-1.92	5
0.00,0.00	-2.74,-0.23	5
0.00,0.00	-2.89,0.08	5
0.00,0.00	3.50,1.11	5
0.00,0.00	-2.33,-0.90	5
0.00,0.00	-2.32,-0.93	5
0.00,0.00	2.95,0.17	5
0.00,0.00	-1.47,-2.43	5
0.00,0.00	1.64,2.50	5
0.00,0.00	2.14,-1.25	5
0.00,0.00	3.15,2.50	5
0.00,0.00	2.98,0.17	5
0.00,0.00	-3.41,0.94	5
