Initial Position	Final Position	Reflection Count
0.00,0.00	-4.50,0.85	5
0.00,0.00	0.54,-4.32	5
0.00,0.00	2.53,-4.30	5
0.00,0.00	1.04,-4.32	5
0.00,0.00	3.12,3.25	5
0.00,0.00	-0.05,4.33	5
0.00,0.00	-4.11,1.49	5
0.00,0.00	-4.82,-0.26	5
0.00,0.00	-2.77,-3.83	5
0.00,0.00	-3.75,2.16	5
0.00,0.00	-2.80,-3.80	5
0.00,0.00	-4.20,-1.30	5
0.00,0.00	3.49,-2.56	5
0.00,0.00	-0.85,4.30	5
0.00,0.00	-0.32,-4.29	5
0.00,0.00	-3.28,-2.94	5
0.00,0.00	2.96,3.45	5
0.00,0.00	-0.42,-4.31	5
0.00,0.00	4.28,-1.25	5
0.00,0.00	3.97,1.78	5
0.00,0.00	-1.32,4.32	5
0.00,0.00	2.91,3.61	5
0.00,0.00	2.03,4.30	5
0.00,0.00	-4.25,1.23	5
0.00,0.00	-0.52,4.30	5
0.00,0.00	-4.50,0.85	5
0.00,0.00	-0.13,-4.31	5
0.00,0.00	-4.82,-0.30	5
0.00,0.00	2.80,3.75	5
0.00,0.00	0.21,4.31	5
0.00,0.00	-2.89,-3.65	5
0.00,0.00	3.30,2.94	5
0.00,0.00	-4.80,0.33	5
0.00,0.00	-2.33,-4.31	5
0.00,0.00	4.84,0.24	5
0.00,0.00	3.90,-1.86	5
0.00,0.00	-1.98,-4.30	5
0.00,0.00	-0.78,4.32	5
0.00,0.00	-4.92,0.05	5
0.00,0.00	-0.43,4.30	5
0.00,0.00	-4.27,-1.20	5
0.00,0.00	-4.89,-0.17	5
0.00,0.00	4.10,1.51	5
0.00,0.00	-4.49,0.85	5
0.00,0.00	-2.81,3.76	5
0.00,0.00	3.99,-1.70	5
0.00,0.00	3.13,3.21	5
0.00,0.00	0.91,-4.31	5
0.00,0.00	3.86,-1.94	5
0.00,0.00	4.43,0.91	5
0.00,0.00	-4.91,-0.14	5
0.00,0.00	-4.13,-1.48	5
0.00,0.00	3.87,-1.94	5
0.00,0.00	3.57,2.39	5
0.00,0.00	2.54,4.22	5
0.00,0.00	3.20,3.05	5
0.00,0.00	-1.10,4.33	5
0.00,0.00	-1.06,-4.30	5
0.00,0.00	2.83,3.74	5
0.00,0.00	-3.02,-3.43	5
0.00,0.00	3.66,-2.29	5
0.00,0.00	0.24,-4.32	5
0.00,0.00	-4.55,-0.70	5
0.00,0.00	3.80,-2.04	5
