èâä˙à íu	ç≈èIà íu	îΩéÀâÒêî
2.50,1.25	5.08,4.43	5
2.50,1.25	5.01,5.61	5
2.50,1.25	0.68,-0.01	5
2.50,1.25	0.98,10.07	5
2.50,1.25	0.84,10.09	5
2.50,1.25	0.98,-0.02	5
2.50,1.25	1.65,-0.02	5
2.50,1.25	3.56,-0.08	5
2.50,1.25	-0.04,5.26	5
2.50,1.25	4.64,-0.06	5
2.50,1.25	5.02,10.01	6
2.50,1.25	5.02,5.07	5
2.50,1.25	1.64,-0.09	5
2.50,1.25	-0.05,5.99	5
2.50,1.25	5.08,8.42	5
2.50,1.25	5.08,4.17	5
2.50,1.25	-0.06,5.46	5
2.50,1.25	0.90,10.06	5
2.50,1.25	5.08,6.75	5
2.50,1.25	5.02,8.81	5
2.50,1.25	4.77,10.02	5
2.50,1.25	-0.03,2.63	5
2.50,1.25	5.04,2.55	5
2.50,1.25	0.16,-0.05	5
2.50,1.25	3.34,-0.04	5
2.50,1.25	-0.01,6.26	5
2.50,1.25	0.46,-0.05	5
2.50,1.25	-0.07,5.05	5
2.50,1.25	2.61,10.03	5
2.50,1.25	4.86,10.07	5
2.50,1.25	-0.05,9.75	5
2.50,1.25	5.06,1.11	5
2.50,1.25	2.50,-0.01	5
2.50,1.25	2.69,-0.07	5
2.50,1.25	2.13,10.05	5
2.50,1.25	5.01,2.63	5
2.50,1.25	-0.06,2.00	5
2.50,1.25	1.02,10.05	5
2.50,1.25	5.02,9.92	5
2.50,1.25	5.07,3.21	5
2.50,1.25	5.06,5.27	5
2.50,1.25	0.34,-0.03	5
2.50,1.25	1.95,10.04	5
2.50,1.25	-0.09,4.06	5
2.50,1.25	5.09,6.20	5
2.50,1.25	3.59,10.03	5
2.50,1.25	5.06,9.05	5
2.50,1.25	-0.06,5.22	5
2.50,1.25	-0.01,8.92	5
2.50,1.25	0.20,10.04	5
2.50,1.25	-0.08,4.39	5
2.50,1.25	-0.01,2.40	5
2.50,1.25	-0.07,4.45	5
2.50,1.25	5.03,6.26	5
2.50,1.25	3.34,-0.05	5
2.50,1.25	5.08,4.28	5
2.50,1.25	1.52,-0.03	5
2.50,1.25	2.18,-0.06	5
2.50,1.25	5.07,1.49	5
2.50,1.25	5.03,8.33	5
2.50,1.25	3.22,10.07	5
2.50,1.25	2.85,10.05	5
2.50,1.25	5.03,2.90	5
2.50,1.25	-0.05,2.38	5
