Initial Position	Final Position	Reflection Count
0.00,0.00	-2.17,-3.41	5
0.00,0.00	3.11,3.52	5
0.00,0.00	2.01,-3.51	5
0.00,0.00	1.70,-3.75	5
0.00,0.00	-3.44,-2.44	5
0.00,0.00	2.45,-3.20	5
0.00,0.00	-3.96,0.77	5
0.00,0.00	2.13,-3.43	5
0.00,0.00	2.52,-3.13	5
0.00,0.00	-4.63,-1.25	5
0.00,0.00	-4.42,-0.53	5
0.00,0.00	-4.44,-0.60	5
0.00,0.00	-2.76,-2.96	5
0.00,0.00	3.38,2.64	5
0.00,0.00	2.80,-2.92	5
0.00,0.00	-3.53,-2.43	5
0.00,0.00	3.87,1.14	5
0.00,0.00	-1.57,4.04	5
0.00,0.00	1.72,-3.72	5
0.00,0.00	-3.22,-2.66	5
0.00,0.00	-2.42,-3.24	5
0.00,0.00	-4.40,-0.47	5
0.00,0.00	-3.91,1.03	5
0.00,0.00	2.19,-3.41	5
0.00,0.00	-0.36,4.01	5
0.00,0.00	2.77,-2.97	5
0.00,0.00	1.38,-3.95	5
0.00,0.00	0.85,-4.37	5
0.00,0.00	-2.45,-3.21	5
0.00,0.00	-2.09,-3.43	5
0.00,0.00	-2.65,-3.06	5
0.00,0.00	3.22,3.12	5
0.00,0.00	3.99,0.69	5
0.00,0.00	1.35,4.03	5
0.00,0.00	3.26,-2.62	5
0.00,0.00	-4.11,-2.00	5
0.00,0.00	4.09,0.48	5
0.00,0.00	-2.25,-3.33	5
0.00,0.00	-0.43,4.02	5
0.00,0.00	-0.19,4.02	5
0.00,0.00	-4.42,-0.56	5
0.00,0.00	2.14,-3.45	5
0.00,0.00	-0.06,-4.95	5
0.00,0.00	3.41,2.58	5
0.00,0.00	4.05,0.51	5
0.00,0.00	-2.39,-3.22	5
0.00,0.00	3.55,-2.40	5
0.00,0.00	-1.71,-3.73	5
0.00,0.00	4.52,-1.71	5
0.00,0.00	0.87,4.03	5
0.00,0.00	3.40,2.63	5
0.00,0.00	2.13,4.01	5
0.00,0.00	-3.98,-2.06	5
0.00,0.00	1.62,-3.79	5
