Initial Position	Final Position	Reflection Count
0.00,0.00	-0.95,4.50	5
0.00,0.00	-4.36,-1.02	5
0.00,0.00	-2.29,4.35	5
0.00,0.00	-3.20,3.15	5
0.00,0.00	3.37,3.00	5
0.00,0.00	3.60,2.64	5
0.00,0.00	-3.98,-2.77	5
0.00,0.00	4.39,-0.96	5
0.00,0.00	-2.81,-3.64	5
0.00,0.00	-2.81,3.70	5
0.00,0.00	-4.30,1.82	5
0.00,0.00	3.64,-3.23	5
0.00,0.00	4.27,-1.45	5
0.00,0.00	-1.43,4.46	5
0.00,0.00	-4.15,-1.88	5
0.00,0.00	2.24,4.40	5
0.00,0.00	0.16,4.49	5
0.00,0.00	-3.84,-3.14	5
0.00,0.00	4.79,0.86	5
0.00,0.00	-4.73,0.58	5
0.00,0.00	-2.05,-3.99	5
0.00,0.00	-4.79,0.85	5
0.00,0.00	4.41,-0.86	5
0.00,0.00	0.25,4.49	5
0.00,0.00	-3.34,-3.39	5
0.00,0.00	4.10,-2.25	5
0.00,0.00	-4.32,1.80	5
0.00,0.00	-1.37,4.48	5
0.00,0.00	4.78,0.74	5
0.00,0.00	0.17,4.48	5
0.00,0.00	-3.95,-2.76	5
0.00,0.00	-1.23,4.50	5
0.00,0.00	-2.52,4.06	5
0.00,0.00	-4.59,0.04	5
0.00,0.00	-4.34,1.73	5
0.00,0.00	-3.08,-3.49	5
0.00,0.00	4.10,-2.20	5
0.00,0.00	-1.13,4.50	5
0.00,0.00	1.18,-4.41	5
0.00,0.00	3.52,2.76	5
0.00,0.00	3.39,2.97	5
0.00,0.00	4.56,-0.14	5
0.00,0.00	-4.79,0.75	5
0.00,0.00	0.80,4.49	5
0.00,0.00	2.73,-3.65	5
0.00,0.00	-0.21,4.46	5
0.00,0.00	3.09,3.35	5
0.00,0.00	2.99,-3.51	5
0.00,0.00	-3.59,2.71	5
0.00,0.00	4.08,-2.34	5
0.00,0.00	-4.59,1.43	5
0.00,0.00	4.67,0.26	5
0.00,0.00	-3.56,2.76	5
0.00,0.00	4.83,0.98	5
0.00,0.00	4.83,0.93	5
0.00,0.00	3.93,2.24	5
0.00,0.00	-4.23,1.88	5
0.00,0.00	-3.57,2.75	5
0.00,0.00	-0.82,-4.59	5
0.00,0.00	-3.50,2.82	5
0.00,0.00	-4.48,1.58	5
0.00,0.00	-3.98,-2.72	5
0.00,0.00	3.26,3.08	5
0.00,0.00	0.70,-4.62	5
0.00,0.00	4.49,-0.51	5
0.00,0.00	4.79,0.86	5
0.00,0.00	1.97,-4.01	5
0.00,0.00	-2.36,4.26	5
0.00,0.00	-1.95,-4.01	5
0.00,0.00	-1.93,-4.05	5
0.00,0.00	-3.85,2.36	5
0.00,0.00	2.60,-3.72	5
0.00,0.00	4.09,-2.24	5
0.00,0.00	-4.61,0.02	5
0.00,0.00	0.96,-4.51	5
0.00,0.00	3.69,-3.20	5
0.00,0.00	3.51,-3.27	5
0.00,0.00	-1.59,-4.20	5
0.00,0.00	3.04,3.38	5
0.00,0.00	3.88,-3.04	5
0.00,0.00	-1.08,-4.47	5
0.00,0.00	-4.67,1.31	5
0.00,0.00	4.24,-1.67	5
0.00,0.00	1.50,-4.27	5
0.00,0.00	1.05,-4.48	5
0.00,0.00	-4.80,1.21	5
0.00,0.00	3.98,-2.80	5
0.00,0.00	2.46,4.11	5
0.00,0.00	-2.57,-3.74	5
0.00,0.00	1.38,-4.29	5
0.00,0.00	3.09,3.30	5
0.00,0.00	4.70,0.38	5
0.00,0.00	-3.06,-3.50	5
0.00,0.00	4.27,-1.43	5
0.00,0.00	2.31,4.27	5
0.00,0.00	4.71,0.55	5
0.00,0.00	-3.85,2.38	5
0.00,0.00	-2.71,-3.66	5
0.00,0.00	3.91,-3.03	5
0.00,0.00	-2.52,4.06	5
0.00,0.00	4.83,1.09	5
0.00,0.00	-3.85,-3.14	5
0.00,0.00	4.58,1.47	5
0.00,0.00	4.37,-0.94	5
0.00,0.00	3.69,2.53	5
0.00,0.00	-3.88,-3.07	5
0.00,0.00	-3.30,-3.38	5
0.00,0.00	1.08,-4.47	5
0.00,0.00	0.94,-4.55	5
0.00,0.00	-4.70,0.41	5
0.00,0.00	4.33,-1.17	5
0.00,0.00	-3.07,-3.51	5
0.00,0.00	-4.69,1.32	5
0.00,0.00	3.24,-3.41	5
0.00,0.00	-4.37,1.71	5
0.00,0.00	-0.19,-4.90	5
0.00,0.00	-3.47,-3.30	5
0.00,0.00	-4.84,1.09	5
0.00,0.00	-4.12,-2.03	5
0.00,0.00	1.61,4.49	5
0.00,0.00	2.10,-3.95	5
0.00,0.00	4.70,1.27	5
0.00,0.00	3.59,-3.23	5
0.00,0.00	3.72,-3.21	5
