Initial Position	Final Position	Reflection Count
0.00,0.00	-3.53,1.13	5
0.00,0.00	-3.85,2.47	5
0.00,0.00	1.96,-1.56	5
0.00,0.00	4.02,1.98	5
0.00,0.00	2.75,2.46	5
0.00,0.00	4.00,1.96	5
0.00,0.00	0.14,-4.70	5
0.00,0.00	-4.16,2.48	5
0.00,0.00	1.70,-2.03	5
0.00,0.00	-0.01,-4.91	5
0.00,0.00	2.27,2.50	5
0.00,0.00	-0.75,-3.61	5
0.00,0.00	2.42,2.46	5
0.00,0.00	2.73,-0.23	5
0.00,0.00	3.72,1.48	5
0.00,0.00	-3.51,2.47	5
0.00,0.00	-4.04,2.04	5
0.00,0.00	-2.10,2.48	5
0.00,0.00	0.12,-4.77	5
0.00,0.00	1.49,2.50	5
0.00,0.00	-2.21,-1.10	5
0.00,0.00	3.96,2.49	5
0.00,0.00	4.23,2.49	5
0.00,0.00	-1.70,-2.03	5
0.00,0.00	2.62,-0.40	5
0.00,0.00	4.26,2.47	5
0.00,0.00	-2.15,2.47	5
0.00,0.00	-3.52,1.10	5
0.00,0.00	0.44,-4.18	5
0.00,0.00	1.88,-1.70	5
0.00,0.00	2.05,-1.40	5
0.00,0.00	0.20,-4.64	5
0.00,0.00	-0.77,2.47	5
0.00,0.00	3.08,0.40	5
0.00,0.00	-3.53,1.18	5
0.00,0.00	1.45,-2.43	5
0.00,0.00	1.01,-3.22	5
0.00,0.00	3.66,1.38	5
0.00,0.00	-0.98,-3.25	5
0.00,0.00	3.46,1.05	5
0.00,0.00	-1.79,2.50	5
0.00,0.00	-0.47,2.49	5
0.00,0.00	-1.05,2.49	5
0.00,0.00	-2.08,-1.35	5
0.00,0.00	3.29,0.71	5
0.00,0.00	-0.65,-3.83	5
0.00,0.00	1.26,-2.75	5
0.00,0.00	-2.23,-1.08	5
0.00,0.00	-2.82,2.48	5
0.00,0.00	-1.43,2.47	5
0.00,0.00	-3.17,0.49	5
0.00,0.00	1.44,-2.48	5
0.00,0.00	-3.37,0.90	5
0.00,0.00	-1.32,-2.70	5
0.00,0.00	3.92,1.85	5
0.00,0.00	3.35,0.90	5
0.00,0.00	-0.56,-4.02	5
0.00,0.00	3.75,1.53	5
0.00,0.00	-1.70,-2.04	5
0.00,0.00	-1.69,2.50	5
0.00,0.00	-0.43,2.48	5
0.00,0.00	0.10,-4.76	5
0.00,0.00	2.71,-0.23	5
0.00,0.00	-0.13,-4.71	5
0.00,0.00	3.91,1.83	5
0.00,0.00	-1.58,-2.22	5
0.00,0.00	3.29,0.78	5
0.00,0.00	-3.47,1.00	5
0.00,0.00	2.59,-0.51	5
0.00,0.00	-0.58,-3.93	5
0.00,0.00	1.10,2.49	5
0.00,0.00	2.68,2.48	5
0.00,0.00	-0.11,-4.77	5
0.00,0.00	-3.03,0.26	5
0.00,0.00	-0.69,-3.78	5
0.00,0.00	2.45,2.49	5
0.00,0.00	-4.09,2.48	5
0.00,0.00	-1.26,-2.75	5
0.00,0.00	4.11,2.13	5
0.00,0.00	-1.94,-1.61	5
0.00,0.00	-2.60,-0.46	5
0.00,0.00	3.99,1.94	5
0.00,0.00	-1.82,-1.78	5
0.00,0.00	2.65,-0.35	5
0.00,0.00	-0.08,2.49	5
0.00,0.00	0.77,-3.59	5
0.00,0.00	-1.53,2.47	5
0.00,0.00	-3.39,0.96	5
0.00,0.00	4.13,2.19	5
0.00,0.00	-0.83,2.50	5
0.00,0.00	3.01,0.24	5
0.00,0.00	0.99,-3.24	5
0.00,0.00	2.20,-1.12	5
0.00,0.00	2.38,-0.87	5
0.00,0.00	-3.01,2.50	5
0.00,0.00	3.82,1.66	5
0.00,0.00	1.84,2.50	5
0.00,0.00	1.89,2.47	5
0.00,0.00	-1.98,-1.51	5
0.00,0.00	3.59,2.50	5
0.00,0.00	-3.56,1.23	5
0.00,0.00	1.82,2.49	5
0.00,0.00	-3.72,2.49	5
0.00,0.00	1.29,2.50	5
0.00,0.00	3.71,2.49	5
0.00,0.00	3.11,0.42	5
0.00,0.00	-1.32,2.48	5
0.00,0.00	0.55,2.49	5
0.00,0.00	-0.31,-4.45	5
0.00,0.00	-3.83,2.46	5
0.00,0.00	2.84,2.50	5
0.00,0.00	-2.85,2.50	5
0.00,0.00	-1.12,-2.98	5
0.00,0.00	3.68,1.45	5
0.00,0.00	-0.35,-4.37	5
0.00,0.00	3.88,1.76	5
0.00,0.00	1.10,2.49	5
0.00,0.00	-1.88,-1.75	5
0.00,0.00	-3.29,0.77	5
0.00,0.00	-1.53,-2.30	5
0.00,0.00	1.13,-3.00	5
0.00,0.00	2.27,2.50	5
0.00,0.00	3.14,0.46	5
0.00,0.00	-0.63,2.46	5
0.00,0.00	-1.86,-1.74	5
0.00,0.00	-2.43,-0.79	5
0.00,0.00	-0.87,-3.46	5
0.00,0.00	4.06,2.49	5
0.00,0.00	3.08,0.33	5
0.00,0.00	2.33,-0.90	5
0.00,0.00	1.43,-2.47	5
0.00,0.00	3.07,0.39	5
0.00,0.00	2.76,2.46	5
0.00,0.00	1.35,2.48	5
0.00,0.00	-0.92,2.49	5
0.00,0.00	1.03,-3.16	5
0.00,0.00	-4.11,2.14	5
0.00,0.00	0.43,2.48	5
0.00,0.00	-3.15,2.46	5
0.00,0.00	1.88,-1.72	5
0.00,0.00	-3.31,2.50	5
0.00,0.00	3.62,2.50	5
0.00,0.00	2.88,0.06	5
0.00,0.00	2.90,0.11	5
0.00,0.00	-2.00,-1.48	5
0.00,0.00	-1.52,-2.32	5
0.00,0.00	-2.55,-0.54	5
0.00,0.00	1.62,-2.15	5
0.00,0.00	-3.37,2.50	5
0.00,0.00	-1.60,-2.21	5
0.00,0.00	0.07,-4.85	5
0.00,0.00	0.25,-4.52	5
0.00,0.00	-1.70,-1.97	5
0.00,0.00	2.65,2.48	5
0.00,0.00	4.08,2.48	5
0.00,0.00	-0.07,-4.85	5
0.00,0.00	2.55,2.50	5
0.00,0.00	3.66,1.36	5
0.00,0.00	-0.40,2.47	5
0.00,0.00	-1.78,2.49	5
0.00,0.00	-3.25,0.70	5
0.00,0.00	-3.89,1.75	5
0.00,0.00	4.20,2.30	5
0.00,0.00	-2.30,-1.01	5
0.00,0.00	2.23,-1.09	5
0.00,0.00	-0.59,-3.97	5
0.00,0.00	3.43,0.96	5
0.00,0.00	4.05,2.11	5
0.00,0.00	-1.03,-3.19	5
0.00,0.00	0.57,-3.97	5
0.00,0.00	2.17,-1.20	5
0.00,0.00	-0.64,-3.87	5
0.00,0.00	3.05,0.34	5
0.00,0.00	-3.58,1.28	5
0.00,0.00	-3.48,1.10	5
0.00,0.00	-0.31,-4.42	5
0.00,0.00	0.50,-4.05	5
0.00,0.00	1.33,-2.69	5
0.00,0.00	0.54,-4.02	5
0.00,0.00	-3.17,0.54	5
0.00,0.00	-2.98,2.47	5
0.00,0.00	3.21,0.58	5
0.00,0.00	4.22,2.38	5
0.00,0.00	3.29,2.48	5
0.00,0.00	3.12,0.40	5
0.00,0.00	-2.12,-1.25	5
0.00,0.00	-4.06,2.10	5
0.00,0.00	-0.55,-4.03	5
0.00,0.00	3.23,2.50	5
0.00,0.00	0.82,-3.53	5
0.00,0.00	2.03,-1.42	5
0.00,0.00	1.04,2.49	5
0.00,0.00	-1.30,2.49	5
0.00,0.00	-2.62,-0.46	5
0.00,0.00	1.12,-3.02	5
0.00,0.00	-1.58,-2.21	5
0.00,0.00	0.66,2.50	5
0.00,0.00	2.38,-0.85	5
0.00,0.00	-0.15,-4.65	5
0.00,0.00	-1.83,2.48	5
0.00,0.00	0.82,2.45	5
0.00,0.00	-2.47,2.46	5
0.00,0.00	-2.68,-0.35	5
0.00,0.00	-2.28,2.49	5
0.00,0.00	1.34,2.46	5
0.00,0.00	3.48,1.05	5
0.00,0.00	1.64,-2.15	5
0.00,0.00	-0.75,-3.62	5
0.00,0.00	-2.02,-1.48	5
0.00,0.00	4.09,2.47	5
0.00,0.00	-0.86,2.47	5
0.00,0.00	-0.83,-3.51	5
0.00,0.00	-3.18,0.57	5
0.00,0.00	-2.04,2.46	5
0.00,0.00	4.19,2.30	5
0.00,0.00	2.30,2.48	5
0.00,0.00	-0.91,-3.41	5
0.00,0.00	-0.18,-4.65	5
0.00,0.00	-4.25,2.48	5
0.00,0.00	-3.10,2.46	5
0.00,0.00	-3.10,0.42	5
0.00,0.00	2.89,0.05	5
0.00,0.00	-3.87,1.75	5
0.00,0.00	3.29,0.70	5
0.00,0.00	2.12,2.50	5
0.00,0.00	-2.93,0.10	5
0.00,0.00	2.55,2.49	5
0.00,0.00	-0.80,-3.61	5
0.00,0.00	2.56,2.50	5
0.00,0.00	2.64,2.47	5
0.00,0.00	-2.81,-0.06	5
0.00,0.00	2.43,2.49	5
0.00,0.00	-3.35,0.81	5
0.00,0.00	1.12,2.47	5
0.00,0.00	-1.71,-1.95	5
0.00,0.00	-2.58,2.47	5
0.00,0.00	-3.96,2.46	5
0.00,0.00	-1.50,2.47	5
0.00,0.00	-1.37,-2.57	5
0.00,0.00	1.59,-2.23	5
0.00,0.00	1.20,-2.87	5
0.00,0.00	-4.12,2.14	5
0.00,0.00	-2.34,-0.92	5
0.00,0.00	1.71,-1.96	5
0.00,0.00	0.64,-3.83	5
0.00,0.00	-2.21,-1.16	5
0.00,0.00	1.68,-2.03	5
0.00,0.00	-3.65,1.40	5
0.00,0.00	-1.26,-2.78	5
0.00,0.00	1.27,2.48	5
0.00,0.00	0.43,2.47	5
0.00,0.00	-1.80,-1.87	5
0.00,0.00	1.15,-2.93	5
0.00,0.00	-0.37,-4.32	5
0.00,0.00	-3.20,0.60	5
