Initial Position	Final Position	Reflection Count
0.00,0.00	1.14,-4.60	5
0.00,0.00	-4.04,0.20	5
0.00,0.00	-13.68,-23.31	4
0.00,0.00	2.65,-3.22	5
0.00,0.00	4.09,-1.23	5
0.00,0.00	-1.54,-3.73	5
0.00,0.00	-1.66,-3.70	5
0.00,0.00	-2.52,-3.42	5
0.00,0.00	0.12,-4.28	5
0.00,0.00	2.65,-3.17	5
0.00,0.00	3.04,2.68	5
0.00,0.00	-1.12,-3.88	5
0.00,0.00	-4.04,-0.94	5
0.00,0.00	-0.83,-3.96	5
0.00,0.00	-1.82,-3.64	5
0.00,0.00	-4.01,1.84	5
0.00,0.00	1.49,4.70	5
0.00,0.00	-1.21,3.84	5
0.00,0.00	3.45,-2.05	5
0.00,0.00	1.96,-4.13	5
0.00,0.00	3.74,-1.69	5
0.00,0.00	0.62,-4.45	5
0.00,0.00	2.73,3.12	5
0.00,0.00	3.17,2.50	5
0.00,0.00	4.32,-0.93	5
0.00,0.00	0.16,-4.29	5
0.00,0.00	-4.04,-1.73	5
0.00,0.00	3.04,-2.62	5
0.00,0.00	3.47,2.02	5
0.00,0.00	-4.04,1.29	5
0.00,0.00	-4.03,-1.70	5
0.00,0.00	-2.58,-3.40	5
0.00,0.00	-0.61,-4.02	5
0.00,0.00	-0.44,4.07	5
0.00,0.00	3.54,-1.98	5
0.00,0.00	3.85,-1.52	5
0.00,0.00	-2.22,3.51	5
0.00,0.00	2.25,-3.76	5
0.00,0.00	-3.62,3.06	5
0.00,0.00	1.19,-4.63	5
0.00,0.00	1.71,-4.50	5
0.00,0.00	0.22,-4.31	5
0.00,0.00	3.64,1.81	5
0.00,0.00	-1.84,-3.65	5
0.00,0.00	-0.34,-4.10	5
0.00,0.00	-1.36,-3.80	5
0.00,0.00	-43.54,-4.73	1
0.00,0.00	-0.77,3.97	5
0.00,0.00	3.68,-1.79	5
0.00,0.00	0.66,-4.46	5
0.00,0.00	4.06,1.29	5
0.00,0.00	3.34,-2.24	5
0.00,0.00	4.20,1.09	5
0.00,0.00	-0.58,-4.03	5
0.00,0.00	0.02,-4.23	5
0.00,0.00	-4.00,-0.54	5
0.00,0.00	2.13,-3.90	5
0.00,0.00	4.01,-1.36	5
0.00,0.00	-4.03,0.81	5
0.00,0.00	-3.33,-3.17	5
0.00,0.00	3.49,-2.03	5
0.00,0.00	1.61,41.87	2
0.00,0.00	1.82,4.35	5
0.00,0.00	-1.14,3.86	5
0.00,0.00	2.92,2.79	5
0.00,0.00	0.82,-4.50	5
0.00,0.00	3.54,2.00	5
0.00,0.00	-2.07,3.56	5
0.00,0.00	0.54,4.43	5
0.00,0.00	1.82,-4.35	5
0.00,0.00	-2.93,-3.28	5
0.00,0.00	3.67,1.78	5
0.00,0.00	4.22,1.06	5
0.00,0.00	0.49,4.37	5
0.00,0.00	4.24,-1.03	5
0.00,0.00	-14.25,16.47	4
0.00,0.00	-31.04,12.93	3
0.00,0.00	-1.08,3.89	5
0.00,0.00	-4.03,1.60	5
0.00,0.00	-0.25,-4.17	5
0.00,0.00	-0.44,-4.08	5
0.00,0.00	-1.64,-3.71	5
0.00,0.00	-0.61,4.04	5
0.00,0.00	-1.96,3.58	5
