Initial Position	Final Position	Reflection Count
0.00,0.00	3.49,2.33	5
0.00,0.00	-4.12,-1.42	5
0.00,0.00	3.32,2.71	5
0.00,0.00	-3.82,1.78	5
0.00,0.00	1.44,4.21	5
0.00,0.00	3.87,1.82	5
0.00,0.00	3.84,1.82	5
0.00,0.00	-0.09,-4.25	5
0.00,0.00	4.37,0.76	5
0.00,0.00	-4.43,-0.81	5
0.00,0.00	-0.77,4.22	5
0.00,0.00	-4.44,0.63	5
0.00,0.00	-4.75,-0.09	5
0.00,0.00	2.65,-3.85	5
0.00,0.00	2.91,3.39	5
0.00,0.00	3.89,-1.72	5
0.00,0.00	4.39,0.76	5
0.00,0.00	-2.45,-4.24	5
0.00,0.00	-4.45,0.64	5
0.00,0.00	-3.42,2.70	5
0.00,0.00	-1.46,-4.22	5
0.00,0.00	3.76,1.79	5
0.00,0.00	4.20,-0.99	5
0.00,0.00	-0.16,-4.21	5
0.00,0.00	4.18,1.22	5
0.00,0.00	0.45,-4.20	5
0.00,0.00	2.04,4.23	5
0.00,0.00	-4.78,-0.20	5
0.00,0.00	-3.32,-2.75	5
0.00,0.00	3.20,2.85	5
0.00,0.00	-3.14,-3.02	5
0.00,0.00	4.33,-0.89	5
0.00,0.00	-0.18,-4.25	5
0.00,0.00	-0.95,-4.25	5
0.00,0.00	-1.20,4.22	5
0.00,0.00	3.90,1.74	5
0.00,0.00	-3.21,2.94	5
0.00,0.00	2.93,3.21	5
0.00,0.00	-4.43,-0.75	5
0.00,0.00	-0.73,4.15	5
0.00,0.00	-2.32,-4.19	5
0.00,0.00	-1.39,4.22	5
0.00,0.00	-3.31,2.72	5
0.00,0.00	2.33,-4.19	5
0.00,0.00	2.51,-4.07	5
0.00,0.00	-4.55,0.50	5
0.00,0.00	0.62,-4.25	5
0.00,0.00	3.79,1.78	5
0.00,0.00	-2.43,-4.32	5
0.00,0.00	-4.11,1.27	5
0.00,0.00	-2.59,-4.14	5
0.00,0.00	3.31,2.76	5
0.00,0.00	1.05,4.21	5
0.00,0.00	-3.65,2.12	5
0.00,0.00	2.52,4.29	5
0.00,0.00	2.53,4.00	5
0.00,0.00	-4.30,0.94	5
0.00,0.00	-1.26,-4.14	5
0.00,0.00	2.44,4.13	5
0.00,0.00	-3.49,-2.31	5
0.00,0.00	1.87,-4.24	5
0.00,0.00	0.22,-4.22	5
0.00,0.00	2.31,-4.17	5
0.00,0.00	1.29,-4.26	5
0.00,0.00	-3.61,-2.21	5
0.00,0.00	-4.88,-0.16	5
0.00,0.00	4.49,0.83	5
0.00,0.00	-0.12,4.26	5
0.00,0.00	0.32,4.15	5
0.00,0.00	-1.30,-4.14	5
0.00,0.00	3.87,1.60	5
0.00,0.00	-4.78,0.15	5
0.00,0.00	-1.77,4.31	5
0.00,0.00	4.01,1.48	5
0.00,0.00	-0.40,-4.30	5
0.00,0.00	-0.09,-4.25	5
0.00,0.00	1.52,4.17	5
0.00,0.00	-3.84,-1.98	5
0.00,0.00	4.12,1.27	5
0.00,0.00	3.64,-2.08	5
0.00,0.00	0.36,4.26	5
0.00,0.00	-3.14,2.91	5
0.00,0.00	-2.81,-3.52	5
0.00,0.00	4.59,-0.44	5
0.00,0.00	3.26,-2.85	5
0.00,0.00	-4.86,0.07	5
0.00,0.00	-3.97,1.60	5
0.00,0.00	-3.17,2.91	5
0.00,0.00	-2.91,3.34	5
0.00,0.00	-4.36,0.86	5
0.00,0.00	4.35,0.90	5
0.00,0.00	3.64,2.24	5
0.00,0.00	-3.13,3.15	5
0.00,0.00	-2.44,4.19	5
0.00,0.00	-3.56,-2.32	5
0.00,0.00	-3.35,2.71	5
0.00,0.00	1.91,4.20	5
0.00,0.00	2.99,-3.20	5
0.00,0.00	3.86,-1.73	5
0.00,0.00	4.11,-1.34	5
0.00,0.00	1.64,4.23	5
0.00,0.00	2.38,4.24	5
0.00,0.00	-3.98,1.50	5
0.00,0.00	4.71,-0.13	5
0.00,0.00	0.87,4.17	5
0.00,0.00	3.57,2.38	5
0.00,0.00	-3.91,1.65	5
0.00,0.00	3.45,-2.44	5
0.00,0.00	-2.18,-4.23	5
0.00,0.00	4.30,0.95	5
0.00,0.00	4.27,0.93	5
0.00,0.00	-2.63,3.91	5
0.00,0.00	-0.55,-4.15	5
0.00,0.00	-2.11,4.22	5
0.00,0.00	0.73,4.15	5
0.00,0.00	3.16,-3.03	5
0.00,0.00	-2.32,4.19	5
0.00,0.00	-4.05,-1.42	5
0.00,0.00	2.48,4.12	5
0.00,0.00	1.79,4.20	5
0.00,0.00	-4.56,0.52	5
0.00,0.00	-4.57,-0.43	5
0.00,0.00	0.92,-4.20	5
0.00,0.00	-4.78,0.14	5
0.00,0.00	-1.45,-4.20	5
0.00,0.00	-2.67,-3.79	5
0.00,0.00	-4.43,-0.76	5
0.00,0.00	-2.35,-4.18	5
0.00,0.00	2.80,3.55	5
0.00,0.00	-1.43,4.18	5
0.00,0.00	-3.04,3.18	5
0.00,0.00	-1.29,-4.25	5
0.00,0.00	-3.86,1.71	5
0.00,0.00	0.00,-4.23	5
0.00,0.00	3.44,2.35	5
0.00,0.00	-4.31,-1.02	5
0.00,0.00	-0.80,4.22	5
0.00,0.00	0.22,-4.20	5
0.00,0.00	1.17,4.26	5
0.00,0.00	0.11,-4.23	5
0.00,0.00	2.21,4.24	5
0.00,0.00	-3.92,-1.67	5
0.00,0.00	-4.04,1.44	5
0.00,0.00	0.96,4.21	5
0.00,0.00	3.32,-2.75	5
0.00,0.00	-3.28,2.80	5
0.00,0.00	-1.15,-4.23	5
0.00,0.00	-2.98,3.29	5
0.00,0.00	-2.95,-3.23	5
0.00,0.00	-0.05,4.22	5
0.00,0.00	-3.08,3.14	5
0.00,0.00	2.21,-4.13	5
0.00,0.00	-4.30,-1.02	5
0.00,0.00	3.60,2.30	5
0.00,0.00	2.64,3.88	5
0.00,0.00	-0.76,4.15	5
0.00,0.00	-4.23,1.01	5
0.00,0.00	-2.95,-3.32	5
0.00,0.00	2.68,-3.75	5
0.00,0.00	3.35,-2.59	5
0.00,0.00	4.98,0.04	5
0.00,0.00	-1.50,4.23	5
0.00,0.00	-4.51,0.57	5
0.00,0.00	-3.14,-2.96	5
0.00,0.00	1.05,-4.20	5
0.00,0.00	2.98,3.29	5
0.00,0.00	-2.46,4.09	5
0.00,0.00	3.74,1.83	5
0.00,0.00	-4.59,0.44	5
0.00,0.00	0.31,4.21	5
0.00,0.00	2.22,4.19	5
0.00,0.00	-2.84,-3.55	5
0.00,0.00	-1.96,4.27	5
0.00,0.00	-4.08,1.27	5
0.00,0.00	2.80,-3.54	5
0.00,0.00	-2.43,-4.19	5
0.00,0.00	4.38,0.76	5
0.00,0.00	-2.75,-3.63	5
0.00,0.00	-3.59,-2.22	5
0.00,0.00	-4.27,1.02	5
0.00,0.00	4.71,-0.36	5
0.00,0.00	2.98,-3.20	5
0.00,0.00	0.87,-4.20	5
0.00,0.00	0.64,4.30	5
0.00,0.00	-3.44,-2.43	5
